trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_038.trj,3105.40,5.43,-380.74,0.00,0.00,0.00,3.34,3.31,-0.76,-0.76,1.73,-14.76,6:30,rear end,1.61,76.00,1377,5,2,4.64,2.00,90.60,0.04,1.57,5.43,-380.74,5.43,-380.74,1384,5,2,4.21,2.00,75.84,3.34,1.73,6.81,-385.28,6.81,-385.28,1.00,99.00,99.00,
left turn real_038.trj,3145.60,5.02,-341.13,0.00,0.00,0.00,2.54,0.67,-2.07,-2.07,0.34,-13.61,6:27,rear end,2.33,83.24,1395,5,2,4.61,1.95,90.60,2.16,0.34,5.02,-341.13,5.02,-341.13,1397,5,2,4.61,1.95,76.99,2.54,0.34,5.92,-345.82,5.92,-345.82,1.00,99.00,99.00,
left turn real_038.trj,3161.40,4.99,-338.54,0.00,0.00,0.00,6.01,5.58,0.00,0.00,2.97,-10.55,6:21,rear end,3.05,80.85,1404,5,2,4.21,2.00,90.60,0.44,2.62,4.99,-338.54,4.99,-338.54,1405,5,1,3.75,1.99,80.05,6.01,2.97,6.69,-342.50,6.69,-342.50,1.00,99.00,99.00,
left turn real_038.trj,3227.20,-0.07,-265.95,0.00,0.00,0.00,5.05,2.20,1.69,1.69,1.14,-25.42,6:51,rear end,1.07,246.35,1406,1,2,4.61,1.95,271.76,0.00,1.07,-0.07,-265.95,-0.07,-265.95,1408,1,2,4.21,2.00,246.35,2.20,1.14,-1.18,-261.54,-1.18,-261.54,1.00,99.00,99.00,
left turn real_038.trj,3227.80,-0.01,-246.32,0.00,0.00,0.00,5.52,2.56,2.87,2.87,1.28,-19.72,6:39,rear end,2.09,254.20,1416,1,2,4.76,2.07,269.93,0.86,1.28,-0.01,-246.32,-0.01,-246.32,1419,1,2,4.76,2.07,250.21,3.36,1.28,-1.15,-241.70,-1.15,-241.70,1.00,99.00,99.00,
left turn real_038.trj,3231.80,-0.04,-272.68,0.00,0.00,0.00,6.03,3.24,2.70,2.70,1.70,-19.77,6:40,rear end,1.55,250.33,1403,10006,1,4.76,2.07,270.10,0.00,1.55,-0.04,-272.68,-0.04,-272.68,1406,1,2,4.61,1.95,250.33,3.24,1.70,-1.21,-267.97,-1.21,-267.97,1.00,99.00,99.00,
left turn real_038.trj,3233.20,8.65,-353.59,0.00,0.00,0.00,0.92,0.56,1.73,1.73,0.30,26.57,5:07,rear end,0.65,107.74,1426,5,1,4.76,2.07,90.60,0.44,0.26,8.65,-353.59,8.65,-353.59,1429,5,1,4.21,2.00,117.17,0.92,0.30,7.84,-358.24,7.84,-358.24,1.00,99.00,99.00,
left turn real_038.trj,3234.60,8.74,-362.31,0.00,0.00,0.00,5.90,3.41,1.09,1.09,1.76,11.32,5:37,rear end,4.27,98.63,1430,5,1,4.64,2.00,90.60,2.58,1.76,8.74,-362.31,8.74,-362.31,1435,5,2,4.76,2.07,101.92,5.90,1.66,7.20,-366.84,7.20,-366.84,1.00,99.00,99.00,
left turn real_038.trj,3239.60,5.03,-342.56,0.00,0.00,0.00,1.24,0.59,1.31,1.31,0.31,-21.79,6:44,rear end,1.01,76.57,1425,5,2,4.01,1.85,90.60,0.78,0.31,5.03,-342.56,5.03,-342.56,1429,5,2,4.21,2.00,68.81,1.24,0.27,6.03,-346.83,6.03,-346.83,1.00,99.00,99.00,
left turn real_038.trj,3241.60,-0.01,-245.32,0.00,0.00,0.00,5.34,2.25,0.74,0.74,1.28,-21.03,6:42,rear end,1.04,249.71,1432,1,2,4.76,2.07,269.93,0.07,0.97,-0.01,-245.32,-0.01,-245.32,1433,1,2,3.75,1.99,248.90,2.31,1.28,-1.23,-241.03,-1.23,-241.03,1.00,99.00,99.00,
