trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_036.trj,300.60,0.00,-241.32,0.00,0.00,0.00,5.91,1.63,2.72,2.72,0.81,-23.08,6:46,rear end,0.81,246.85,116,1,2,4.21,2.00,269.93,0.00,0.81,0.00,-241.32,0.00,-241.32,120,1,2,4.21,2.00,246.85,1.63,0.81,-0.57,-235.60,-1.20,-237.09,1.00,99.00,99.00,
left turn real_036.trj,303.40,4.89,-329.22,0.00,1.00,2.40,1.35,1.31,-1.75,-1.75,0.68,0.00,6:00,rear end,0.64,90.60,122,5,2,4.61,1.95,90.60,0.00,0.64,4.89,-329.24,4.88,-327.80,132,5,2,4.21,2.00,90.60,1.31,0.68,4.96,-335.49,4.94,-333.59,1.00,99.00,99.00,
left turn real_036.trj,309.20,4.94,-333.43,0.00,0.50,0.40,7.54,5.98,-1.62,-6.74,3.18,-4.88,6:10,lane change,4.36,86.66,140,5,2,4.21,2.00,90.60,1.57,2.80,4.98,-337.79,4.85,-325.38,144,5,2,4.01,1.85,85.72,7.54,3.18,5.12,-350.42,6.75,-328.61,1.00,99.00,99.00,
left turn real_036.trj,314.20,0.04,-209.47,0.00,0.00,0.00,5.30,1.73,2.48,2.48,0.96,-20.32,6:41,lane change,0.77,249.61,137,1,2,4.64,2.00,269.93,0.00,0.77,0.04,-209.47,0.04,-209.47,143,1,2,4.01,1.85,249.61,1.73,0.96,-0.52,-203.40,-1.66,-206.47,1.00,99.00,99.00,
left turn real_036.trj,311.80,4.69,-309.70,0.00,1.10,2.80,1.66,1.14,-1.73,-1.73,0.59,0.00,5:59,rear end,1.07,90.60,122,5,2,4.61,1.95,90.60,0.52,0.55,4.69,-309.92,4.67,-308.12,132,5,2,4.21,2.00,90.60,1.66,0.59,4.75,-315.78,4.73,-314.02,1.00,99.00,99.00,
left turn real_036.trj,311.00,0.05,-196.20,0.00,1.50,3.40,6.67,5.04,-3.54,-3.54,2.72,0.04,5:59,rear end,3.95,269.96,149,1,2,4.76,2.07,269.93,1.62,2.33,0.06,-195.16,0.05,-199.78,150,1,2,4.21,2.00,269.97,6.67,2.72,0.06,-181.91,0.06,-191.90,1.00,99.00,99.00,
left turn real_036.trj,310.80,4.77,-317.70,0.00,1.30,1.40,3.67,0.16,-0.59,-1.80,0.08,0.00,6:00,rear end,3.58,90.60,132,5,2,4.21,2.00,90.60,3.50,0.08,4.78,-318.36,4.73,-313.26,140,5,2,4.21,2.00,90.60,3.67,0.08,4.87,-326.85,4.78,-318.70,1.00,99.00,99.00,
left turn real_036.trj,316.00,0.05,-201.68,0.00,1.00,1.00,3.41,1.13,-0.21,-0.21,0.61,-13.61,6:27,rear end,2.90,264.71,149,1,2,4.76,2.07,269.93,3.34,0.52,0.05,-200.43,0.05,-202.76,150,1,2,4.21,2.00,256.32,2.43,0.61,0.06,-192.39,-1.07,-197.02,1.00,99.00,99.00,
left turn real_036.trj,327.00,0.00,-242.57,0.00,0.20,0.20,6.00,3.48,2.17,2.17,1.82,-11.83,6:24,lane change,2.49,259.63,133,1,2,4.21,2.00,269.93,0.68,1.82,0.00,-241.93,0.00,-242.84,137,1,2,4.64,2.00,258.10,4.15,1.66,-0.45,-233.15,-1.58,-238.47,1.00,99.00,99.00,
left turn real_036.trj,331.60,4.91,-319.31,0.00,1.00,2.20,6.10,5.11,-1.95,-2.63,2.72,34.25,4:52,lane change,3.43,84.32,151,5,2,4.21,2.00,56.36,1.25,2.39,4.80,-320.12,6.95,-316.88,155,5,2,4.01,1.85,90.60,6.10,2.72,4.93,-332.36,4.83,-323.39,1.00,99.00,99.00,
