trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_002.trj,550.80,4.92,-331.38,0.00,0.00,0.00,0.96,0.74,1.10,1.10,0.39,-28.26,6:57,rear end,0.35,62.34,232,5,2,4.21,2.00,90.60,0.00,0.35,4.92,-331.38,4.92,-331.38,235,5,2,3.75,1.99,62.34,0.74,0.39,5.83,-335.48,5.83,-335.48,1.00,99.00,99.00,
left turn real_002.trj,568.40,-0.04,-272.55,0.00,0.00,0.00,5.23,5.23,2.09,2.09,2.70,-16.36,6:33,rear end,2.70,253.57,214,10006,1,4.21,2.00,269.93,0.00,2.70,-0.04,-272.55,-0.04,-272.55,220,1,1,4.61,1.95,253.57,5.23,2.53,-2.46,-271.83,-2.46,-271.83,1.00,99.00,99.00,
left turn real_002.trj,569.40,-3.38,-278.01,0.00,0.00,0.00,7.91,11.81,0.48,0.48,5.90,-109.91,9:40,crossing,4.14,208.76,220,10001,1,4.61,1.95,264.07,7.18,5.90,-3.38,-278.01,-3.38,-278.01,221,10004,1,4.61,1.95,154.17,7.24,5.90,-4.09,-281.52,-4.09,-281.52,1.00,99.00,99.00,
left turn real_002.trj,574.60,-0.04,-272.68,0.00,0.00,0.00,5.73,3.84,2.54,2.54,2.01,-19.41,6:39,rear end,2.01,250.52,214,10006,1,4.21,2.00,269.93,0.00,2.01,-0.04,-272.68,-0.04,-272.68,223,1,1,4.64,2.00,250.52,3.84,1.83,-1.41,-268.75,-1.41,-268.75,1.00,99.00,99.00,
left turn real_002.trj,576.80,-3.45,-282.62,0.00,0.00,0.00,9.00,14.01,2.74,2.74,7.12,-135.07,10:30,crossing,3.09,221.18,223,10001,1,4.64,2.00,268.15,8.62,6.89,-3.45,-282.62,-3.45,-282.62,230,10004,1,4.61,1.95,133.08,6.51,7.12,-0.25,-283.52,-0.25,-283.52,1.00,99.00,99.00,
left turn real_002.trj,578.20,-0.03,-265.76,0.00,0.00,0.00,6.18,4.23,-3.26,-3.26,2.12,-12.01,6:24,rear end,2.53,258.91,225,1,2,4.01,1.85,269.93,0.42,2.12,-0.03,-265.76,-0.03,-265.76,245,1,2,4.01,1.85,257.92,4.64,2.12,-1.40,-261.69,-1.40,-261.69,1.00,99.00,99.00,
left turn real_002.trj,582.20,-5.36,-281.16,0.00,0.00,0.00,10.91,14.96,0.46,0.46,8.06,110.94,2:18,crossing,5.59,236.86,231,8,2,4.21,2.00,159.21,7.12,8.06,-5.36,-281.16,-5.36,-281.16,255,10001,1,4.76,2.07,270.16,10.85,6.90,-3.52,-278.03,-3.52,-278.03,1.00,99.00,99.00,
left turn real_002.trj,584.00,-0.04,-272.68,0.00,0.00,0.00,5.26,5.26,2.32,2.32,2.80,-16.37,6:33,rear end,2.46,253.56,214,10006,1,4.21,2.00,269.93,0.00,2.46,-0.04,-272.68,-0.04,-272.68,225,1,1,4.01,1.85,253.56,5.26,2.80,-2.26,-271.50,-2.26,-271.50,1.00,99.00,99.00,
left turn real_002.trj,587.00,-2.64,-282.01,0.00,0.00,0.00,8.05,13.38,2.45,2.45,7.20,125.01,1:50,crossing,3.47,209.33,232,10004,1,4.21,2.00,144.66,7.97,7.20,-2.64,-282.01,-2.64,-282.01,250,10001,1,4.76,2.07,269.67,7.10,6.17,-3.51,-277.93,-3.51,-277.93,1.00,99.00,99.00,
left turn real_002.trj,589.00,-0.03,-266.38,0.00,0.00,0.00,5.64,2.87,-2.32,-2.32,1.50,-15.17,6:30,rear end,1.71,255.65,252,1,2,4.21,2.00,269.93,0.21,1.50,-0.03,-266.38,-0.03,-266.38,254,1,2,4.64,2.00,254.76,3.07,1.37,-1.27,-261.91,-1.27,-261.91,1.00,99.00,99.00,
left turn real_002.trj,593.40,-1.29,-282.77,0.00,0.00,0.00,11.78,17.31,0.96,0.96,8.66,130.98,1:38,crossing,4.46,233.08,246,10004,1,4.01,1.85,139.24,7.13,8.66,-1.29,-282.77,-1.29,-282.77,268,10001,1,4.01,1.85,270.22,11.78,8.66,-3.50,-283.89,-3.50,-283.89,1.00,99.00,99.00,
left turn real_002.trj,642.80,4.68,-308.55,0.00,0.00,0.00,6.65,6.26,-1.15,-1.15,3.27,-9.54,6:19,rear end,3.12,81.28,283,5,2,4.76,2.07,90.60,0.14,2.99,4.68,-308.55,4.68,-308.55,284,5,2,4.61,1.95,81.07,6.39,3.27,6.13,-313.29,6.13,-313.29,1.00,99.00,99.00,
left turn real_002.trj,658.40,4.80,-319.92,0.00,0.00,0.00,1.15,0.54,-7.67,-7.67,0.30,-16.44,6:33,rear end,0.93,79.36,287,5,2,3.75,1.99,90.60,0.67,0.30,4.80,-319.92,4.80,-319.92,290,5,2,4.64,2.00,74.16,1.15,0.24,6.06,-324.12,6.06,-324.12,1.00,99.00,99.00,
left turn real_002.trj,663.00,-3.53,-263.89,0.00,0.00,0.00,12.48,12.48,-0.25,-0.25,7.11,-12.06,6:24,rear end,5.37,257.87,288,1,1,4.76,2.07,269.93,0.00,5.37,-3.53,-263.89,-3.53,-263.89,292,10007,1,4.01,1.85,257.87,12.48,7.11,-4.54,-261.33,-4.54,-261.33,1.00,99.00,99.00,
left turn real_002.trj,666.00,-3.53,-263.89,0.00,0.00,0.00,11.78,11.75,0.15,0.15,6.70,-10.40,6:21,rear end,5.05,259.52,288,1,1,4.76,2.07,269.93,0.00,5.05,-3.53,-263.89,-3.53,-263.89,293,10007,1,4.01,1.85,259.52,11.75,6.70,-4.36,-260.77,-4.36,-260.77,1.00,99.00,99.00,
left turn real_002.trj,682.20,4.84,-324.24,0.00,0.00,0.00,4.47,4.47,-0.05,-0.05,2.30,-12.87,6:26,rear end,2.16,77.73,295,5,2,4.61,1.95,90.60,0.00,2.16,4.84,-324.24,4.84,-324.24,298,5,2,4.21,2.00,77.73,4.47,2.30,6.25,-328.71,6.25,-328.71,1.00,99.00,99.00,
left turn real_002.trj,700.20,5.10,-348.94,0.00,0.00,0.00,1.14,0.74,1.21,1.21,0.39,-27.27,6:55,rear end,0.42,65.99,308,5,2,4.21,2.00,90.60,0.08,0.35,5.10,-348.94,5.10,-348.94,309,5,2,3.75,1.99,63.33,0.81,0.39,6.03,-353.07,6.03,-353.07,1.00,99.00,99.00,
left turn real_002.trj,701.40,5.10,-348.89,0.00,0.00,0.00,3.05,2.90,1.09,1.09,1.54,-28.23,6:56,rear end,1.36,62.37,308,5,2,4.21,2.00,90.60,0.00,1.36,5.10,-348.89,5.10,-348.89,309,5,1,3.75,1.99,62.37,2.90,1.54,7.39,-350.70,7.39,-350.70,1.00,99.00,99.00,
left turn real_002.trj,703.60,-0.77,-283.16,0.00,0.00,0.00,8.13,14.93,1.99,1.99,7.70,135.07,1:30,crossing,3.09,199.17,276,10004,1,4.61,1.95,135.16,8.03,7.23,-0.77,-283.16,-0.77,-283.16,280,10001,1,4.21,2.00,270.23,8.13,7.70,-3.50,-284.88,-3.50,-284.88,1.00,99.00,99.00,
