trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_002.trj,432.40,4.60,-301.15,0.00,1.20,0.60,2.76,1.46,-0.90,-1.06,0.73,0.00,6:00,rear end,2.02,90.60,173,5,2,4.61,1.95,90.60,1.29,0.73,4.61,-302.31,4.59,-300.08,176,5,2,4.61,1.95,90.60,2.76,0.73,4.68,-308.99,4.65,-305.71,1.00,99.00,99.00,
left turn real_002.trj,433.40,-3.54,-281.65,0.00,0.00,0.00,11.80,14.63,0.00,-0.20,7.31,128.46,1:43,crossing,4.73,249.00,159,10004,1,4.21,2.00,141.57,4.34,7.31,2.44,-286.39,-3.54,-281.65,183,1,1,4.21,2.00,270.03,11.53,7.31,-3.53,-263.14,-3.52,-279.55,1.00,99.00,99.00,
left turn real_002.trj,436.40,-0.04,-272.40,0.00,0.00,0.00,5.60,1.56,2.35,2.35,0.78,-23.21,6:46,rear end,0.78,246.72,149,10006,1,4.76,2.07,269.93,0.00,0.78,-0.04,-272.40,-0.04,-272.40,161,1,2,4.76,2.07,246.72,1.56,0.78,-0.56,-266.06,-1.17,-267.47,1.00,99.00,99.00,
left turn real_002.trj,436.60,4.60,-301.40,0.00,1.10,1.60,1.83,1.16,-0.76,-6.38,0.58,-22.16,6:44,rear end,1.28,74.93,176,5,2,4.61,1.95,90.60,0.77,0.58,4.60,-301.54,4.59,-300.23,181,5,2,4.61,1.95,68.44,1.83,0.58,4.66,-307.41,5.20,-306.06,1.00,99.00,99.00,
left turn real_002.trj,440.20,4.16,-290.09,0.00,1.50,1.00,2.66,1.58,-0.10,-0.24,0.79,-20.18,6:40,rear end,1.91,96.87,173,10004,1,4.61,1.95,110.78,1.21,0.79,4.16,-290.09,3.38,-288.02,176,5,2,4.61,1.95,90.60,2.66,0.79,4.56,-297.03,4.53,-294.34,1.00,99.00,99.00,
left turn real_002.trj,445.00,-0.03,-266.12,0.00,0.00,0.00,5.61,1.29,1.71,1.71,0.96,-24.71,6:49,rear end,0.34,245.63,164,1,2,10.22,2.50,269.92,0.01,0.34,-0.03,-266.12,-0.03,-266.12,175,1,2,4.61,1.95,245.21,1.30,0.96,-0.41,-257.05,-1.17,-258.70,1.00,99.00,99.00,
left turn real_002.trj,451.20,-1.23,-282.81,0.00,0.00,0.00,11.18,14.06,0.17,0.17,7.25,137.96,1:24,crossing,4.02,248.79,193,10004,1,4.21,2.00,132.12,4.50,7.25,3.30,-287.82,-1.23,-282.81,194,1,1,4.61,1.95,270.08,10.39,6.81,-3.53,-267.38,-3.51,-280.45,1.00,99.00,99.00,
left turn real_002.trj,501.20,-3.53,-264.49,0.00,0.00,0.00,12.82,12.57,0.16,0.16,6.28,-2.72,6:05,rear end,6.28,267.21,218,1,1,4.21,2.00,269.93,0.00,6.28,-3.53,-264.49,-3.53,-264.49,222,1,1,4.21,2.00,267.21,12.57,6.28,-3.50,-243.13,-4.36,-260.76,1.00,99.00,99.00,
left turn real_002.trj,524.40,8.10,-301.07,0.00,0.00,0.00,8.43,5.05,-0.36,-0.58,2.60,-2.37,6:05,rear end,4.58,88.80,227,5,1,4.61,1.95,90.60,2.14,2.44,8.11,-302.54,8.10,-301.07,229,5,1,4.21,2.00,88.23,7.18,2.60,8.25,-315.33,8.59,-304.12,1.00,99.00,99.00,
left turn real_002.trj,549.00,6.12,-345.55,0.00,0.80,1.20,6.82,6.82,-1.76,-4.52,3.89,44.11,4:32,lane change,2.93,90.60,240,5,2,4.76,2.07,46.49,0.00,2.93,5.07,-345.89,7.50,-343.34,246,5,2,4.01,1.85,90.60,6.82,3.89,5.22,-360.18,5.11,-349.80,1.00,99.00,99.00,
left turn real_002.trj,555.80,7.48,-344.38,0.00,1.30,0.60,6.50,5.28,-2.20,-2.45,2.93,22.74,5:15,lane change,3.60,85.96,247,5,2,4.64,2.00,67.86,1.36,2.35,6.02,-347.65,8.05,-342.66,248,5,1,3.75,1.99,90.60,6.50,2.93,8.70,-358.08,8.60,-348.48,1.00,99.00,99.00,
left turn real_002.trj,569.40,-3.38,-278.01,0.00,0.00,0.00,7.91,9.03,0.48,0.48,4.51,-114.00,9:48,crossing,2.93,202.00,220,1,1,4.61,1.95,261.49,5.23,4.51,-2.46,-271.83,-3.38,-278.01,221,10004,1,4.61,1.95,147.49,5.53,4.51,1.24,-284.92,-4.09,-281.52,1.00,99.00,99.00,
left turn real_002.trj,571.80,-0.01,-252.16,0.00,1.50,2.80,2.36,2.16,-1.25,-3.65,1.18,23.08,5:14,lane change,1.18,267.78,244,1,2,4.61,1.95,246.99,0.22,0.98,-0.01,-252.16,-2.75,-258.60,245,1,2,4.01,1.85,270.07,2.36,1.18,-0.02,-244.42,-0.01,-247.95,1.00,99.00,99.00,
left turn real_002.trj,573.60,-1.66,-255.75,0.00,1.40,1.20,6.55,3.70,-2.11,-3.57,2.98,20.34,5:19,lane change,5.87,267.82,244,1,2,4.61,1.95,249.59,3.23,2.98,-1.20,-254.48,-2.96,-259.23,253,1,1,12.40,3.04,269.93,6.55,0.71,-3.50,-240.64,-3.51,-247.97,1.00,99.00,99.00,
left turn real_002.trj,574.60,-0.04,-272.68,0.00,0.00,0.00,5.73,1.72,2.54,2.54,0.90,-20.88,6:42,rear end,0.90,249.05,214,10006,1,4.21,2.00,269.93,0.00,0.90,-0.04,-272.68,-0.04,-272.68,223,1,2,4.64,2.00,249.05,1.72,0.82,-0.55,-266.49,-1.41,-268.75,1.00,99.00,99.00,
left turn real_002.trj,570.80,8.55,-344.12,0.00,0.90,1.00,6.09,6.09,-2.23,-2.23,3.38,0.00,6:00,rear end,3.38,90.60,248,5,1,3.75,1.99,90.60,0.00,3.38,8.55,-344.30,8.38,-328.09,257,5,1,4.64,2.00,90.60,6.09,2.71,8.69,-357.31,8.51,-340.33,1.00,99.00,99.00,
